,R,I,A,S,E,C
count,16.0,16.0,16.0,16.0,16.0,16.0
mean,2.4732142857142856,2.75,2.258928571428571,2.508928571428571,2.2410714285714284,2.4196428571428568
std,0.3928571428571429,0.39555351728181304,0.47871355387816905,0.4172105294097216,0.45690097767608306,0.46793438111984637
min,1.7142857142857142,1.4285714285714286,1.2857142857142858,1.7142857142857142,1.2857142857142858,1.4285714285714286
25%,2.25,2.7142857142857144,2.107142857142857,2.3571428571428568,1.9642857142857144,2.107142857142857
50%,2.5,2.857142857142857,2.2857142857142856,2.5714285714285716,2.142857142857143,2.4285714285714284
75%,2.7142857142857144,3.0,2.4285714285714284,2.857142857142857,2.607142857142857,2.7857142857142856
max,3.0,3.0,3.0,3.0,3.0,3.0
