,Performance_Approach,Mastery_Approach,Performance_Avoidance,Mastery_Avoidance
Realistic,0.1847569753218628,0.4334227323281287,0.2884408830483881,-0.0027826963966832295
Investigative,0.03104851498504168,0.5505159291279877,0.24268133584853793,-0.28884175806299855
Artistic,0.10619805886347254,0.35677509870215657,-0.0524251603325868,0.13764033359401112
Social,-0.24298973713540653,0.38612608879270427,-0.06029383680072197,-0.284126867503989
Enterprising,0.2729268392312716,0.3661303233781687,-0.24824284462189714,-0.0030619243744495197
Conventional,0.1582172561888115,0.6020345778485965,0.05437877364615871,0.15642568413939975
