,Performance_Approach,Mastery_Approach,Performance_Avoidance,Mastery_Avoidance
Realistic,0.5271736768242973,0.12157362401189431,0.3172649325242578,0.9924672511104039
Investigative,0.9160855842098681,0.04135083564006392,0.4031680079766211,0.3165624982595055
Artistic,0.7178496972633961,0.21050200845569522,0.8587313847023206,0.638904106904093
Social,0.40255193966846553,0.17267825340774312,0.8377673158469703,0.324880207631125
Enterprising,0.34512691767404424,0.19792639129126616,0.39213380718688495,0.9917114045483613
Conventional,0.5890428091281077,0.022722647513700383,0.8535178794899436,0.5933214591849416
